"filename", "language", "JSON", "JavaScript", "Diff", "JSON with Comments", "Markdown", "Python", "JavaScript React", "HTML", "CSS", "PHP", "C++", "C", "Java", "comment", "blank", "total"
"d:\Coding\cn404\cn404_code\backend\config\config.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\Coding\cn404\cn404_code\backend\config\database.js", "JavaScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 16
"d:\Coding\cn404\cn404_code\backend\config\passport.js", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 81
"d:\Coding\cn404\cn404_code\backend\controllers\answerController.js", "JavaScript", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 41, 317
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\c\c_3_523.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 10
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\cpp\cpp_3_524.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\javascript\node_1_485.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 4, 33
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\php\php_1_518.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"d:\Coding\cn404\cn404_code\backend\controllers\compileFiles\python\python_1_486.py", "Python", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"d:\Coding\cn404\cn404_code\backend\controllers\courseController.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 12, 128
"d:\Coding\cn404\cn404_code\backend\controllers\enrollmentController.js", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 78
"d:\Coding\cn404\cn404_code\backend\controllers\questionController.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 117
"d:\Coding\cn404\cn404_code\backend\controllers\quizController.js", "JavaScript", 0, 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11, 101
"d:\Coding\cn404\cn404_code\backend\controllers\userController.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 17, 120
"d:\Coding\cn404\cn404_code\backend\middleware\authMiddleware.js", "JavaScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"d:\Coding\cn404\cn404_code\backend\middleware\errorMiddleware.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Coding\cn404\cn404_code\backend\models\Answer.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Coding\cn404\cn404_code\backend\models\Course.js", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Coding\cn404\cn404_code\backend\models\Enrollment.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Coding\cn404\cn404_code\backend\models\Question.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 34
"d:\Coding\cn404\cn404_code\backend\models\Quiz.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 32
"d:\Coding\cn404\cn404_code\backend\models\Sentquiz.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"d:\Coding\cn404\cn404_code\backend\models\Student.js", "JavaScript", 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 46
"d:\Coding\cn404\cn404_code\backend\models\Teacher.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 44
"d:\Coding\cn404\cn404_code\backend\models\index.js", "JavaScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"d:\Coding\cn404\cn404_code\backend\routes\answerRoutes.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 41
"d:\Coding\cn404\cn404_code\backend\routes\courseRoutes.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"d:\Coding\cn404\cn404_code\backend\routes\enrollmentRoutes.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\Coding\cn404\cn404_code\backend\routes\questionRoutes.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 33
"d:\Coding\cn404\cn404_code\backend\routes\quizRoutes.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 37
"d:\Coding\cn404\cn404_code\backend\routes\userRoutes.js", "JavaScript", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 37
"d:\Coding\cn404\cn404_code\backend\server-mongo.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 98
"d:\Coding\cn404\cn404_code\backend\server.js", "JavaScript", 0, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 12, 82
"d:\Coding\cn404\cn404_code\backend\test.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 96
"d:\Coding\cn404\cn404_code\backend\test1.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 31
"d:\Coding\cn404\cn404_code\backend\utils\python\hello.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 37
"d:\Coding\cn404\cn404_code\backend\utils\python\hello1.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 37
"d:\Coding\cn404\cn404_code\backend\utils\python\hello2.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 37
"d:\Coding\cn404\cn404_code\backend\utils\python\hello3.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 37
"d:\Coding\cn404\cn404_code\backend\utils\python\test.py", "Python", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Coding\cn404\cn404_code\frontend\README.md", "Markdown", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 110
"d:\Coding\cn404\cn404_code\frontend\jsconfig.json", "JSON with Comments", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Coding\cn404\cn404_code\frontend\package-lock.json", "JSON", 33979, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33980
"d:\Coding\cn404\cn404_code\frontend\package.json", "JSON", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 77
"d:\Coding\cn404\cn404_code\frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 29, 1, 56
"d:\Coding\cn404\cn404_code\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\Coding\cn404\cn404_code\frontend\src\App.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 0, 2, 9, 125
"d:\Coding\cn404\cn404_code\frontend\src\app.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 3, 5, 27
"d:\Coding\cn404\cn404_code\frontend\src\app\store.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"d:\Coding\cn404\cn404_code\frontend\src\components\AddTeacher.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 12, 110
"d:\Coding\cn404\cn404_code\frontend\src\components\Navbar.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 0, 23, 12, 119
"d:\Coding\cn404\cn404_code\frontend\src\components\navbar.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 3, 13, 81
"d:\Coding\cn404\cn404_code\frontend\src\features\answer\answerService.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 11, 97
"d:\Coding\cn404\cn404_code\frontend\src\features\answer\answerSlice.js", "JavaScript", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 132
"d:\Coding\cn404\cn404_code\frontend\src\features\auth\authService.js", "JavaScript", 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 84
"d:\Coding\cn404\cn404_code\frontend\src\features\auth\authSlice.js", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 119
"d:\Coding\cn404\cn404_code\frontend\src\features\course\courseService.js", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 70
"d:\Coding\cn404\cn404_code\frontend\src\features\course\courseSlice.js", "JavaScript", 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 15, 124
"d:\Coding\cn404\cn404_code\frontend\src\features\enrollment\enrollmentService.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 40
"d:\Coding\cn404\cn404_code\frontend\src\features\enrollment\enrollmentSlice.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 77
"d:\Coding\cn404\cn404_code\frontend\src\features\question\questionService.js", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 69
"d:\Coding\cn404\cn404_code\frontend\src\features\question\questionSlice.js", "JavaScript", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 118
"d:\Coding\cn404\cn404_code\frontend\src\features\quiz\quizService.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 88
"d:\Coding\cn404\cn404_code\frontend\src\features\quiz\quizSlice.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18, 139
"d:\Coding\cn404\cn404_code\frontend\src\index.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\Coding\cn404\cn404_code\frontend\src\pages\answer\Answer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 0, 15, 25, 206
"d:\Coding\cn404\cn404_code\frontend\src\pages\answer\MarkdownRenderer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Coding\cn404\cn404_code\frontend\src\pages\answer\answer.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 3, 12, 60
"d:\Coding\cn404\cn404_code\frontend\src\pages\course\AddQuiz.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 12, 116
"d:\Coding\cn404\cn404_code\frontend\src\pages\course\Course.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 0, 0, 7, 23, 316
"d:\Coding\cn404\cn404_code\frontend\src\pages\course\EnrolledStudents.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 190, 0, 0, 0, 0, 0, 0, 5, 22, 217
"d:\Coding\cn404\cn404_code\frontend\src\pages\course\course.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 6, 23, 153
"d:\Coding\cn404\cn404_code\frontend\src\pages\course\enrolled.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"d:\Coding\cn404\cn404_code\frontend\src\pages\course\student\StudentCoures.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 9, 71
"d:\Coding\cn404\cn404_code\frontend\src\pages\course\student\StudentScores.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 1, 15, 131
"d:\Coding\cn404\cn404_code\frontend\src\pages\course\student\studentCourse.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\AddCourse.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 201, 0, 0, 0, 0, 0, 0, 1, 18, 220
"d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\Dashboard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 0, 0, 20, 17, 251
"d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\Enroll.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 0, 0, 11, 112
"d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\dashboard.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 11, 11, 53
"d:\Coding\cn404\cn404_code\frontend\src\pages\dashboard\temp-dashboard.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 11, 98
"d:\Coding\cn404\cn404_code\frontend\src\pages\login\Login.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 0, 0, 0, 1, 10, 107
"d:\Coding\cn404\cn404_code\frontend\src\pages\login\Signup.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 0, 0, 0, 12, 218
"d:\Coding\cn404\cn404_code\frontend\src\pages\login\login.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"d:\Coding\cn404\cn404_code\frontend\src\pages\login\signup.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 6, 40
"d:\Coding\cn404\cn404_code\frontend\src\pages\preview\MarkdownRenderer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 4, 44
"d:\Coding\cn404\cn404_code\frontend\src\pages\preview\Preview.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 182, 0, 0, 0, 0, 0, 0, 2, 23, 207
"d:\Coding\cn404\cn404_code\frontend\src\pages\preview\preview.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\cn404\cn404_code\frontend\src\pages\question\MarkdownRenderer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 4, 43
"d:\Coding\cn404\cn404_code\frontend\src\pages\question\Question.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 469, 0, 0, 0, 0, 0, 0, 29, 48, 546
"d:\Coding\cn404\cn404_code\frontend\src\pages\question\Utils.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 2, 17, 159
"d:\Coding\cn404\cn404_code\frontend\src\pages\question\question.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 4, 13, 71
"d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\Quiz.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 8, 35
"d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\StudentQuiz.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 10, 64
"d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\quiz.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 6, 17, 111
"d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\student\StudentQuiz.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 8, 30
"d:\Coding\cn404\cn404_code\frontend\src\pages\quiz\student\studentQuiz.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 0, 6, 17, 111
"d:\Coding\cn404\cn404_code\frontend\src\utils\theme.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 56
"d:\Coding\cn404\cn404_code\frontend\utils.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8
"d:\Coding\cn404\cn404_code\package-lock.json", "JSON", 5144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5145
"d:\Coding\cn404\cn404_code\package.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\Coding\cn404\cn404_code\patches\passport+0.6.0.patch", "Diff", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Coding\cn404\cn404_code\test\TestJava.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5
"d:\Coding\cn404\cn404_code\test\js_answer.js", "JavaScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 35
"d:\Coding\cn404\cn404_code\test\test_c.c", "C", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"d:\Coding\cn404\cn404_code\test\test_cpp.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"d:\Coding\cn404\cn404_code\test\test_js.js", "JavaScript", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 9, 85
"d:\Coding\cn404\cn404_code\test\test_php.php", "PHP", 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"d:\Coding\cn404\cn404_code\test\test_py.py", "Python", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 4, 3, 14
"Total", "-", 39289, 2712, 21, 6, 79, 15, 3137, 26, 588, 22, 12, 10, 5, 423, 971, 47316